iter	Passed	Remaining
406	587	856
407	589	854
408	590	853
409	592	852
410	593	850
411	595	849
412	596	847
413	598	846
414	600	846
415	601	845
416	603	843
417	604	842
418	606	840
419	607	839
420	608	837
421	610	836
422	611	834
423	613	833
424	615	833
425	616	831
426	617	829
427	619	827
428	620	825
429	621	823
430	622	821
431	623	820
432	624	818
433	626	816
434	627	814
435	628	813
436	630	812
437	632	810
438	633	809
439	634	807
440	636	806
441	637	804
442	638	803
443	640	801
444	642	800
445	644	800
446	646	799
447	647	798
448	649	796
449	650	795
450	651	793
451	653	792
452	654	790
453	656	789
454	657	787
455	659	786
456	660	785
457	662	783
458	663	782
459	665	781
460	666	779
461	668	778
462	669	776
463	671	775
464	673	775
465	675	773
466	676	772
467	678	771
468	679	769
469	681	768
470	683	767
471	684	765
472	686	764
473	688	763
474	689	762
475	691	760
476	692	759
477	693	757
478	694	755
479	696	754
480	697	752
481	698	750
482	699	748
483	701	747
484	703	746
485	704	745
486	705	743
487	707	742
488	708	740
489	709	738
490	710	736
491	712	735
492	713	733
493	714	732
494	716	731
495	718	730
496	720	728
497	721	727
498	723	725
499	724	724
500	725	723
501	727	721
502	728	719
503	729	718
504	731	717
505	733	715
506	734	714
507	736	712
508	737	711
509	738	709
510	739	707
511	740	706
512	741	704
513	743	702
514	744	701
515	746	699
516	747	698
517	748	696
518	750	695
519	751	693
520	752	691
521	753	690
522	754	688
523	756	686
524	757	685
525	758	683
526	760	682
527	761	680
528	762	679
529	764	677
530	765	675
531	766	674
532	767	672
533	769	671
534	770	669
535	771	667
536	772	666
537	773	664
538	775	663
539	776	661
540	777	660
541	779	658
542	780	656
543	781	655
544	782	653
545	783	651
546	784	650
547	786	648
548	787	646
549	788	645
550	790	643
551	791	642
552	792	640
553	793	639
554	794	637
555	796	635
556	797	634
557	798	632
558	799	630
559	800	629
560	801	627
561	803	625
562	804	624
563	806	623
564	807	621
565	808	620
566	810	618
567	811	616
568	812	615
569	813	613
570	814	612
571	816	610
572	817	609
573	819	608
574	821	607
575	822	605
576	823	604
577	826	603
578	827	601
579	829	600
580	830	599
581	832	597
582	835	597
583	836	596
584	838	594
585	839	593
586	841	591
587	843	590
588	845	589
589	847	589
590	851	588
591	852	587
592	853	585
593	855	584
594	856	582
595	857	581
596	858	579
597	860	578
598	861	576
599	863	575
600	865	574
601	866	573
602	868	571
603	869	570
604	870	568
605	871	566
606	873	565
607	874	563
608	875	562
609	876	560
610	878	559
611	880	558
612	881	556
613	882	554
614	883	553
615	885	551
616	886	550
617	887	548
618	888	547
619	890	545
620	891	543
621	893	542
622	894	541
623	895	539
624	896	538
625	898	536
626	899	535
627	901	533
628	902	532
629	903	530
630	905	529
631	906	527
632	910	527
633	916	528
634	918	527
635	920	526
636	922	525
637	924	524
638	925	522
639	926	521
640	927	519
641	929	518
642	930	516
643	931	514
644	932	513
645	934	511
646	935	510
647	936	508
648	938	507
649	939	506
650	941	504
651	943	503
652	944	501
653	945	500
654	947	498
655	948	497
656	950	496
657	952	494
658	953	493
659	955	492
660	957	490
661	958	489
662	960	487
663	961	486
664	963	485
665	964	483
666	966	482
667	968	481
668	969	479
669	971	478
670	972	476
671	973	475
672	974	473
673	976	472
674	977	470
675	978	469
676	979	467
677	981	466
678	983	464
679	984	463
680	985	461
681	986	460
682	987	458
683	989	457
684	990	455
685	991	453
686	992	452
687	994	450
688	996	449
689	997	448
690	998	446
691	1000	445
692	1001	443
693	1002	442
694	1003	440
695	1005	438
696	1006	437
697	1007	435
698	1008	434
699	1011	433
700	1012	431
701	1014	430
702	1015	428
703	1016	427
704	1017	425
705	1019	424
706	1020	422
707	1021	421
708	1023	419
709	1025	418
710	1026	417
711	1028	415
712	1029	414
713	1030	412
714	1032	411
715	1033	409
716	1035	408
717	1036	407
718	1040	406
719	1042	405
720	1044	404
721	1045	402
722	1047	401
723	1049	399
724	1051	398
725	1054	397
726	1056	396
727	1058	395
728	1059	393
729	1061	392
730	1062	391
731	1064	389
732	1066	388
733	1068	387
734	1070	385
735	1072	384
736	1075	383
737	1077	382
738	1079	381
739	1080	379
740	1083	378
741	1085	377
742	1088	376
743	1089	374
744	1091	373
745	1092	372
746	1094	370
747	1096	369
748	1099	368
749	1101	367
750	1103	365
751	1105	364
752	1106	363
753	1108	361
754	1109	360
755	1111	358
756	1113	357
757	1115	355
758	1117	354
759	1118	353
760	1120	351
761	1121	350
762	1123	348
763	1125	347
764	1128	346
765	1129	345
766	1131	343
767	1135	343
768	1137	341
769	1138	340
770	1139	338
771	1142	337
772	1144	336
773	1146	334
774	1148	333
775	1150	331
776	1151	330
777	1153	329
778	1155	327
779	1157	326
780	1159	325
781	1161	323
782	1163	322
783	1164	320
784	1166	319
785	1167	317
786	1170	316
787	1172	315
788	1173	313
789	1175	312
790	1177	311
791	1178	309
792	1180	308
793	1181	306
794	1183	305
795	1186	304
796	1188	302
797	1190	301
798	1191	299
799	1193	298
800	1194	296
801	1196	295
802	1197	293
803	1199	292
804	1201	291
805	1203	289
806	1204	288
807	1206	286
808	1209	285
809	1210	284
810	1212	282
811	1213	281
812	1216	279
813	1217	278
814	1219	276
815	1220	275
816	1221	273
817	1223	272
818	1224	270
819	1226	269
820	1227	267
821	1229	266
822	1231	264
823	1232	263
824	1234	261
825	1235	260
826	1237	258
827	1238	257
828	1240	255
829	1241	254
830	1243	252
831	1245	251
832	1247	250
833	1248	248
834	1250	247
835	1251	245
836	1253	244
837	1254	242
838	1256	241
839	1260	240
840	1262	238
841	1264	237
842	1265	235
843	1267	234
844	1268	232
845	1270	231
846	1271	229
847	1273	228
848	1275	226
849	1277	225
850	1278	223
851	1280	222
852	1281	220
853	1282	219
854	1284	217
855	1285	216
856	1287	214
857	1289	213
858	1291	211
859	1293	210
860	1294	209
861	1296	207
862	1297	206
863	1298	204
864	1300	202
865	1301	201
866	1303	199
867	1305	198
868	1306	196
869	1307	195
870	1309	193
871	1310	192
872	1312	190
873	1314	189
874	1315	187
875	1317	186
876	1319	185
877	1321	183
878	1322	182
879	1323	180
880	1325	178
881	1326	177
882	1328	175
883	1329	174
884	1331	172
885	1333	171
886	1334	170
887	1336	168
888	1337	167
889	1339	165
890	1340	163
891	1341	162
892	1343	160
893	1344	159
894	1347	158
895	1349	156
896	1350	155
897	1352	153
898	1353	152
899	1355	150
900	1356	149
901	1358	147
902	1359	146
903	1363	144
904	1364	143
905	1366	141
906	1367	140
907	1369	138
908	1370	137
909	1371	135
910	1373	134
911	1375	132
912	1377	131
913	1379	129
914	1380	128
915	1382	126
916	1383	125
917	1385	123
918	1386	122
919	1388	120
920	1390	119
921	1392	117
922	1393	116
923	1394	114
924	1396	113
925	1397	111
926	1398	110
927	1400	108
928	1401	107
929	1403	105
930	1407	104
931	1408	102
932	1410	101
933	1411	99
934	1412	98
935	1414	96
936	1415	95
937	1417	93
938	1418	92
939	1421	90
940	1422	89
941	1424	87
942	1426	86
943	1427	84
944	1429	83
945	1430	81
946	1432	80
947	1434	78
948	1436	77
949	1437	75
950	1439	74
951	1440	72
952	1442	71
953	1443	69
954	1445	68
955	1446	66
956	1447	65
957	1449	63
958	1451	62
959	1452	60
960	1454	59
961	1455	57
962	1457	55
963	1458	54
964	1459	52
965	1460	51
966	1462	49
967	1463	48
968	1465	46
969	1466	45
970	1468	43
971	1469	42
972	1471	40
973	1472	39
974	1473	37
975	1475	36
976	1476	34
977	1478	33
978	1480	31
979	1481	30
980	1483	28
981	1484	27
982	1485	25
983	1487	24
984	1488	22
985	1490	21
986	1491	19
987	1493	18
988	1495	16
989	1497	15
990	1498	13
991	1500	12
992	1501	10
993	1502	9
994	1504	7
995	1505	6
996	1507	4
997	1509	3
998	1511	1
999	1512	0
